,Pokemon,Behavior
6,Roggenrola," If it detects sound, Roggenrola will move"
7,Roggenrola, Its inner core gives off heat and is warm enough to be touched
8,Roggenrola,"Roggenrola evolves into Boldore at level 25, and then to Gigalith via trade"
0,Boldore,Boldore is always searching for sources of water deep underground
1,Boldore," However, because of its dislike of water, Boldore always takes small sips to avoid getting soaked"
2,Boldore, It moves swiftly from both sides while facing in the same direction
3,Boldore, The orange crystals that stick outwards signifies that a Boldore is in perfect health
4,Boldore," In addition, the crystals themselves contain so much energy that a single fragment has enough fuel to power up a hundred dump trucks"
5,Boldore,Boldore is able to release powerful bursts of energy from the crystals on its back whenever the crystals themselves start to glow
6,Boldore, It uses sound waves to detect its surroundings
7,Boldore,Boldore is the evolved form of Roggenrola as of level 25
8,Boldore, It then evolves into Gigalith via trade
0,Gigalith,Gigalith usually inhabit underground areas
1,Gigalith, It is able to absorb and contain solar rays within its energy core
2,Gigalith, The energy stored within Gigalith is released as a strong energy blast
3,Gigalith," The blast of energy is extremely powerful, which often results in deep gashes forming all over Gigalith's body"
4,Gigalith,"Although it is able to use this ability to obliterate an entire mountain, Gigalith is unable to do so in rainy weather or during the night"
5,Gigalith, The sun beams Gigalith releases from its mouth has enough power to launch a dump truck
6,Gigalith,"Because of its immense strength and sturdy body, Gigalith is popular among construction workers"
7,Gigalith,"In the Galar Region, Gigalith is often seen inside mines and on construction sites working alongside with humans and Copperajah"
8,Gigalith,"As seen in the anime, Gigalith is known to consume rocks as part of its natural diet in the wild"
0,Woobat,"Woobat roost by attaching their noses to the walls of caves, using their nostrils as suction cups"
1,Woobat," When they fly away, they leave behind distinctive heart-shaped marks on walls"
2,Woobat," Some people believe that having a Woobat land on one's body and leave a mark on the skin is a sign of good fortune, especially for one's romantic life"
3,Woobat," Woobat are friendly Pokémon, and curious ones as well"
4,Woobat," Many of them can be seen flitting around spelunkers that enter their caverns, probing the travelers with their sound waves and noses"
5,Woobat," During mating season, Woobat engage in complex mating rituals that involve “kissing” noses with each other and flying around in a variety of intricate, interlocking aerial patterns"
0,Swoobat,"Most of the time, these Pokémon use their waves to navigate; however, when threatened, they can instead produce frequencies capable of pulverizing stone and concrete"
1,Swoobat," Releasing such strong sound pulses tires them out quickly, however, rendering them temporarily unable to fly"
2,Swoobat," By shaking their tails vigorously, they can further increase the power of their waves"
3,Swoobat," Despite their destructive potential, however, Swoobat rarely ever need to resort to using such attacks"
4,Swoobat, They are very friendly Pokémon that are almost always found in pairs
5,Swoobat," Recently, researchers have discovered that the ultrasonic waves emitted by idle male Swoobat while courting (which they are almost always in the process of doing) have a positive effect on the moods of both people and Pokémon"
0,Drilbur,"Drilbur can be found in areas with temperate climates and solid, dry ground"
1,Drilbur," They spend most of their time in underground caves and tunnels, primarily surfacing to supplement their diets with fruits and plant matter (they usually consume insects and other small invertebrates found in the dirt)"
2,Drilbur," Despite being mostly solitary, Drilbur tend to be very friendly towards other Pokémon and humans"
3,Drilbur," They sometimes develop mutualistic relationships with people in suburban and rural areas, plowing backyard gardens and orchards in exchange for fruits and Berries"
4,Drilbur," However, unruly Drilbur can easily damage entire fields of crops by tearing carelessly through plant roots, so trained individuals are heavily preferred for agricultural purposes"
5,Drilbur," Drilbur build their nests underground, constructing many tunnels passing through them for travel and ventilation"
6,Drilbur, They leaves distinctive mounds of dirt on the surface directly above their nests to help them find their way back home
0,Excadrill,"Excadrill are rather territorial Pokémon, attacking intruders that enter their tunnels on sight"
1,Excadrill," Known as ""Drill Kings,"" they dwell deeper in the earth than Drilbur and constructs longer, more complex networks of tunnels as well"
2,Excadrill, Individuals have been found living more than 300 feet (91 meters) below the earth's surface
3,Excadrill,Excadrill intentionally construct maze-like tunnel networks that only they can navigate
4,Excadrill," Prey that stumble into their tunnels become lost in the labyrinths, allowing Excadrill to easily capture and drag them back to their nest in the hearts of these mazes"
5,Excadrill," The burrowing of these Pokémon is beneficial for crop growth, as they till soil far more efficiently than most human processes"
0,Audino,"By touching the feelers on their ears to objects, these Pokémon can pick up even the smallest sound waves; because of this, Audino are common sights in hospitals and Pokémon Centers, where they are trained to use their feelers as stethoscopes to detect irregularities in the heartbeats of patients"
1,Audino," Their hearing is so advanced that they can also use their feelers to assess other aspects of an individual's health, including blood pressure, breathing, and digestion"
2,Audino, Some Pokémon breeders and daycare centers also employ Audino to assess Pokémon eggs and determine when they will most likely hatch
3,Audino," Even without using their feelers, their hearing is still superb, being as sensitive as many artificial radars"
4,Audino,"Audino are rarely seen in the wild, as they are shy Pokémon that retreat and hide when they hear someone approaching—considering their extraordinary aural abilities, this means that they almost always are hiding from potential enemies"
5,Audino," However, they are kind and gentle enough to work with nurses in Pokémon Centers"
0,Timburr,"Timburr are common sights in towns and cities, often seen working on construction sites alongside human builders"
1,Timburr," In the wild, Timburr are usually found in forests and wooded mountains"
2,Timburr," They use their strength to break down trees into more manageable planks and logs, which they in turn use to construct temporary shelters"
3,Timburr, Timburr are constantly looking for ways to improve the strength and stability of their homes
4,Timburr," Every morning, they tear down the homes they built the day before to salvage materials for constructing new shelters, experimenting with different techniques and designs"
5,Timburr," This often leads to the creation of very strange-looking shelters, some of which are stable and some of which are not"
6,Timburr, It is said that these Pokémon enjoy building so much that they throw tantrums when unexpected rain halts their projects for the day
7,Timburr," When Timburr are capable of lifting whole logs three times their size without having to splinter them into smaller pieces, they are close to evolution"
8,Timburr, Wild Timburr are known to visit human cities to examine the architecture of urban buildings; they will later attempt to imitate the designs they see in their own structures
9,Timburr,"Timburr evolves into Gurdurr at level 25, and then into Conkeldurr through trade"
0,Gurdurr,"Gurdurr uses its steel girder to train its muscles, which it shows off to its comrades, though if it fails to impress them, it keeps a low profile"
1,Gurdurr, It also prefers to destroy than build; it is said to excel at demolition and be terrible at construction
2,Gurdurr," Groups of Gurdurr and Machoke can sometimes be seen comparing their muscles with each other; ""losers"" will drop out of future comparisons in favor of additional training"
0,Conkeldurr,"It is believed that Conkeldurr learned how to make concrete long ago in order to construct stronger structures, and taught the skill to humans about 2,000 years ago"
1,Conkeldurr," Even today, an average Conkeldurr can mix a stronger concrete from natural materials than modern commercial brands"
2,Conkeldurr," Their upper bodies are so massive that they have trouble staying upright, relying on their concrete pillars to stand up"
3,Conkeldurr," Despite this, Conkeldurr are incredibly powerful and sturdy"
4,Conkeldurr," In addition to their strength, they are also very knowledgeable in the fields of building and architecture"
5,Conkeldurr," These Pokémon are employed at construction sites not to build, but rather to supervise and assess the stability and integrity of structures"
6,Conkeldurr," In combat, instead of relying on brute force to overpower opponents, Conkeldurr spin their pillars at high speeds and smash them into opponents; the centrifugal force of the pillars enables them to strike with immense power"
7,Conkeldurr," Conkeldurr can also swing their pillars about freely to attack, though doing so may occasionally cause them to lose balance"
8,Conkeldurr," In dire situations, they will throw their pillars aside to pummel their foes with their fists, though they have great difficulty remaining upright while doing so"
9,Conkeldurr,Conkeldurr is the evolved form of Gurdurr
10,Conkeldurr, It evolves from Gurdurr when traded
11,Conkeldurr, Conkeldurr is the final form of Timburr
0,Tympole,Tympole live in large groups known as “circles
1,Tympole,” The growths on either side of their heads can vibrate quickly in order to produce ultrasonic waves
2,Tympole," These waves, though imperceptible to humans, are how Tympole communicate with one another"
3,Tympole," When threatened, a Tympole will emit a distinctive pattern and frequency of sound that only other Tympole can hear; once the rest of the circle hears the warning, they will all begin to produce the same sound"
4,Tympole," The circle will then, as a group, adjust the frequency of the sound waves they are emitting until they become audible at an earsplitting pitch to attackers"
5,Tympole," In battle, this tactic manifests as the move Round"
6,Tympole," Curiously if a single Tympole is isolated and put under stress, it will emit an initial warning sound as usual, but will not attempt to stun the opponent with a subsequent deafening pitch, instead only holding the first note"
7,Tympole," This seems to indicate that Tympole will not attack until their warning calls are “confirmed” by allies, which occurs when other Tympole replicate the starting pitch"
8,Tympole, Resonating ripples on the surface of a pond are a sure sign of a Tympole circle singing below
9,Tympole,"Tympole evolves into Palpitoad at level 25, and then into Seismitoad at level 36"
0,Palpitoad,Palpitoad live in groups of anywhere from six to twelve members
1,Palpitoad," They cannot stray far from the water's edge, however, as they must keep their skin moist in order to breathe properly (as they essentially breathes through their thin skin)"
2,Palpitoad," Because they lack arms, Palpitoad rely primarily on their tails for balance"
3,Palpitoad," They use their long, sticky tongues to catch flying insects in midair"
4,Palpitoad,"By vibrating the bumps around their bodies, they can create small tremors on land or ripples in water; this helps scare out prey for them to catch"
5,Palpitoad," In the evening during mating season, groups of Palpitoad are often found perched on rocks near the shore"
6,Palpitoad, They can be heard executing complex rhythms as a part of their mating rituals by vibrating their circular growths in various patterns
7,Palpitoad," At the end of these songs, the individuals that created the most beautiful rhythms are the most likely to be chosen as mates"
8,Palpitoad," Palpitoad with larger bumps can produce a greater range of pitches, thus giving them an advantage in song composition"
9,Palpitoad, A few trained Palpitoad have even been able to compose songs aimed to please human listeners
0,Seismitoad,"In terms of ecological niches, however, they fulfill a very similar role to the Poliwag family (though they tend to inhabit muddier, oxygen-poor environments)"
1,Seismitoad," They are notable for the numerous vibrating organs they have within their bumps, which they use to both communicate and defend themselves"
2,Seismitoad," Seismitoad are also infamous for the hallucinogenic toxin they secrete from their skin; while ingestion of Seismitoad toxin was not unheard of prior to the 1960s, it was not until a sensationalist article in a Kalos magazine was published that it became more commonplace (and illegal)"
3,Seismitoad,Seismitoad are aloof Pokémon
4,Seismitoad, They do not react much to the presence of humans
5,Seismitoad, They almost always fight when they sense danger
6,Seismitoad,The various lumps on its body have varying capabilities
7,Seismitoad," The ones on its head can shoot a paralyzing liquid, while the ones on its hands can be vibrated to increase its punching power"
8,Seismitoad, It can also vibrate the lumps as a source of torment for its opponents
9,Seismitoad," The vibrations can also start an Earthquake, and the elderly often use the vibrations to massage themselves"
10,Seismitoad,Seismitoad is the evolved form of Palpitoad at level 36
11,Seismitoad, It is the final form of Tympole
0,Sawk,Sawk is a very stern and secluded Pokémon that is takes his martial arts training very seriously
1,Sawk, He will become angered if disturbed in the midst of his training
2,Sawk, They tend to seclude themselves in mountains and train without even stopping to rest
3,Sawk,Sawk does not evolve
0,Sewaddle,"Sewaddle makes itself leafy clothes using chewed-up leaves and a thread-like substance it produces from its mouth, though Leavanny tends to make its first set after hatching"
1,Sewaddle," By folding it over its face, its leafy hood is used to help hide it from enemies, whether awake or asleep"
2,Sewaddle," It has been shown to eat berries, but when food is scarce it will eat its leafy clothing as an alternative"
3,Sewaddle,"Sewaddle evolves into Swadloon at level 20, and then to a Leavanny after a high enough friendship"
0,Swadloon,On its back are the veins of the leaf as well as a bit at the bottom tip of the cloak resembling a rounded tail
1,Swadloon," Swadloon lives on the forest floor and converts fallen leaves into nourishment, which helps the surrounding plant life grow"
2,Swadloon,Swadloon is the evolved form of Sewaddle as of level 20
3,Swadloon, Swadloon then evolves into Leavanny with high friendship
0,Leavanny,"Leavanny is a very kind, motherly, nurturing Pokémon"
1,Leavanny," It will weave leafy clothing for small Pokémon, including its young, Sewaddle"
0,Venipede,Venipede is a very aggressive Pokémon that will use its venom to paralyze its predators
1,Venipede," A voracious predator, Venipede will consume whatever prey it can swallow whole without knowing the outcome"
2,Venipede," It is said to be a close relative of Skorupi and Sizzlipede; however, once Venipede crosses paths with a Sizzlipede, a huge fight will ensue"
3,Venipede,"Venipede evolves into Whirlipede at level 22, and then into Scolipede at level 30"
0,Scolipede,Scolipede is an extremely aggressive and dangerous predatory Pokémon
1,Scolipede," It will chase and attack its prey relentlessly, using the stinging spines on its neck to poison its victim until it is paralyzed"
2,Scolipede, It will then finish off its prey with a powerful and fatal poison
3,Scolipede,Scolipede will also grab ahold of its prey via neck claws before slamming its victim onto the ground to deliver a lethal dose of poison from its claws
4,Scolipede," It often engage fights with Centiskorch over territory, with the battle resulting in the loser becoming food for the winner"
0,Cottonee,"Cottonee travel very closely in the wind during their mating period, making them appear like a cloud"
1,Cottonee," They are usually very friendly, and people often see them helping each other"
2,Cottonee," However, when attacked, they will shoot cotton from their bodies to serve as a decoy"
3,Cottonee," When it is raining, they will hide underneath trees so their cotton doesn't get wet and weigh them down"
4,Cottonee," People use their cotton to make pillows and furniture, among other things, so they are prized by many luxury brands"
5,Cottonee,Cottonee evolves into Whimsicott by use of a Sun Stone
0,Whimsicott,Whimsicott is a notorious trickster and a very mischievous Pokémon
1,Whimsicott," It will sneak into houses by slipping through the smallest gaps, and will cause mischief by moving furniture and leaving balls of cotton behind"
2,Whimsicott," Despite their fondness for trickery, however, Whimsicott rarely ever mean to intentionally cause harm; in fact, they will actively intervene in their own pranks if they believe that someone will be hurt"
3,Whimsicott,"Whimsicott will constantly grow more cotton as long as they remain exposed to sunlight, and thus must groom themselves regularly by pruning off the excess and scattering it to the wind"
0,Petilil,"Petilil favor places with clean soil and water, hence they live in places with nutritious and fertile soil"
1,Petilil, They have mass migrations whenever their surrounding environment degrades
2,Petilil, They love their leaves being pruned regularly and can grow into a fine plump shape
3,Petilil," The deeper their leaves, the healthier they are"
4,Petilil,Petilil will store extra sugars when in good weather so they won’t go hungry in the event that they shed their leaves to escape from predators
5,Petilil," Due to having a timid disposition, Petilil almost always flee at the first sign of danger, and as such rarely pose a threat to humans"
0,Lilligant,Lilligant are popular among celebrities
1,Lilligant," Nonetheless, it's hard to let the flowers on their heads bloom, because if they get a lack of attention or care, the flower will wither"
2,Lilligant, This shows that Lilligant are extremely delicate Pokémon that require lots of pampering
3,Lilligant,"However, sometimes even after their trainers have paid all their effort, when a Lilligant finds a beloved mate, the flower withers"
4,Lilligant,Lilligant mainly live in forests (such as Pinwheel Forest) of Unova and meadows of Alola
5,Lilligant, Some dwell in the Isle of Armor
6,Lilligant,Hisuian Lilligant are elegant fighters that use their well-developed legs to attack their enemies while also retaining their grace and poise
7,Lilligant," Unlike their modern counterparts, they live their lives in snow-covered mountains and terrains"
0,Krokorok,They seek out groups of five to seven members for aid in hunting and protection
1,Krokorok," These groups are led by females, who delegate hunting to males"
2,Krokorok," They are nocturnal predators, though they are known to wander about during the day as well if they have not eaten for a while"
3,Krokorok," As reptiles, though, they despise the cold, and will bury deep into the desert sand, where the day's heat is retained, on particularly chilly nights instead of hunting"
4,Krokorok,"The black membranes covering their eyes develop a new function upon evolution; not only do they protect them from sandstorms and light though because they are rarely active in the day, this is hardly ever a factor"
5,Krokorok, But they also grant Krokorok with infrared vision
6,Krokorok," This makes them superb hunters, even in the darkness of desert nights, as they can detect prey by their infrared signatures rather than by sight alone"
7,Krokorok," Using their heat-sensitive eyes to locate unwary victims, packs can easily surround and corner their prey before their targets even notice"
8,Krokorok, They will bury extra food in the sand as an emergency cache in case they fail to hunt down a meal in the future
9,Krokorok,"Because their masks vaguely resemble those of criminals, Krokorok are often portrayed as malicious in popular culture"
10,Krokorok," In reality, though, Krokorok are not particularly sinister Pokémon despite how they are often depicted"
11,Krokorok,Krokorok is the evolved form of Sandile as of level 29
12,Krokorok, Krokorok evolves into Krookodile at level 40
0,Krookodile,Krookodile is known as the Bully of the Sands
1,Krookodile," While aggressive by nature, Krookodile is patient enough to bury itself underneath the sand and wait for prey to pass by"
2,Krookodile, Its jaws boasts immense strength and can rip through a large car and heavy iron plates
3,Krookodile," Once Krookodile latches onto its prey with a jaw lock, it will not let go"
4,Krookodile," Krookodile always cooperate with Flygon during hunts, using Flygon's sand storm as cover to ambush prey"
5,Krookodile, Its eyes can be used as binoculars; Krookodile uses this ability to detect objects and potential prey from afar
6,Krookodile,"Krookodile is final evolution of Sandile, and evolved from Krokorok as of level 40"
0,Darumaka,Darumaka have an internal fire inside their bodies
1,Darumaka," When this fire is hot, one becomes hyper, but will fall asleep when the fire itself gets low"
2,Darumaka," When sleeping, they retract their limbs into their bodies, and slightly sway"
3,Darumaka," While they are sleeping, they cannot be tipped over no matter how much they get pushed or pulled, like a tumbler doll, which they resemble in this slumbering state"
4,Darumaka," They are also known to have very warm droppings, which ancient people put in their clothes to keep themselves warm"
5,Darumaka, They normally dwell in deserts
6,Darumaka," During the day, these Pokémon are extremely hyperactive; the fires burning within their bodies keep them constantly running about"
7,Darumaka," Upon awakening, the creatures appeared dazed for a while, but were otherwise completely healthy"
8,Darumaka," Darumaka subsist on insects, arachnids, and whatever plants they can find in the harsh desert"
9,Darumaka, Darumaka add small mammals onto this list
10,Darumaka,"Unlike their Unovan counterparts, Galarian Darumaka have lost their ability to produce heat from their flame sacs because of constant living in snowy areas"
11,Darumaka, This has left Galarian Darumaka generating cold air instead of heat
12,Darumaka, Galarian Darumaka become more energetic if they get colder and will use their icy breaths to create snowballs for ammunition
13,Darumaka, Galarian Darumaka also enjoy eating Berries produced by Snover
14,Darumaka," This leads to them preying on Snover, often causing them to be driven off by Abomasnow"
15,Darumaka, They usually reside in freezing mountainsides
0,Maractus,"Maractus usually shake themselves to fend themselves by startling bird Pokémon through their rhythmic dances and body movements, as well as producing a sound similar to a maracas"
1,Maractus, They scatter their seeds once in a year
2,Maractus,"Maractus are commonly found in groups of anywhere from a dozen to two dozen in dry, sandy regions; their most common sightings are in dry and arid areas, such as deserts"
3,Maractus," They can survive on remarkably little water for Grass-type Pokémon, letting them to tolerate the aridity of barren deserts"
4,Maractus," Though they are capable of moving, Maractus remain rooted in place for the majority of the day in order to conserve as much energy as possible"
5,Maractus," When it rains, Maractus will gorge themselves on water to last until the next distant rainfall"
0,Dwebble,Dwebble often look for solid rocks if they do not already own one as a shell
1,Dwebble," Once they find a suitable rock, they begin to spit corrosive liquid onto them or dig holes in them to make into their shell"
2,Dwebble," This habit sometimes leads to them attacking Roggenrola or Rolycoly, attempting to make them into its shell"
3,Dwebble," If they are unable to find a suitable home, they may take refuge inside of the ports on Hippowdon where they help dislodge stuck rocks"
4,Dwebble,Dwebble evolves into Crustle at level 34
0,Crustle,"Crustle are able to survive for long periods of time without water, which is often scarce in their arid habitats"
1,Crustle," In fact, they dislike direct contact with the substance, retreating beneath their shells during even light rains"
2,Crustle," To fashion their shells, Crustle will carve blocks of dirt and stone from the solid earth directly beneath their feet"
3,Crustle, They are highly territorial and will compete with nearby Crustle for control of choice swathes of land
4,Crustle," When fighting for territory, Crustle will attempt to shatter the shells of their opponents"
5,Crustle," Competitors with broken shells relinquish all of their land; they also become timid and weak, as they are unable to defend themselves until they can build new shells"
6,Crustle," Because Crustle carve their shells from the ground within their domains, Crustle from different areas will often sport rocks with differently-colored strata"
7,Crustle, Crustle appear to be able to distinguish foreign and native visitors from each other based on these alternately-colored layers
8,Crustle," Though they dislike confrontation, their claws are strong enough to crack a Rhyperior's carapace, and they will wield them fiercely if they feel their shells are threatened"
9,Crustle,Crustle is the evolved form of Dwebble as of level 34
0,Scraggy,Scraggy live in small groups
1,Scraggy," They have a habit of headbutting, and will headbutt anyone who makes eye contact with it"
2,Scraggy," They are even known to greet other Scraggy by headbutting, as a method to test their strength"
3,Scraggy," In order to defend itself, a Scraggy will pull its skin up to its neck"
4,Scraggy, Scraggy with baggier skin garner more respect amongst their peers
5,Scraggy,Scraggy evolves into Scrafty at level 39
0,Scrafty,Scrafty often form large groups to attack any trespassers that try to invade their territory
1,Scrafty, The leader of the group always possesses a large head crest
2,Scrafty," Scrafty can execute powerful kicks capable of smashing through concrete, even those made by Conkeldurr"
3,Scrafty," Despite its tough demeanor, Scrafty can be caring to its friends, family, and turf"
4,Scrafty, Scrafty is able to produce an acidic spit from its mouth
0,Sigilyph,Sigilyph lives in ancient ruins
1,Sigilyph, It guards them and will use its psychic powers on intruders
2,Sigilyph,Sigilyph does not evolve
0,Yamask,"When gazing at the mask that resembles its former human self, Yamask sometimes sobs over looking at it"
1,Yamask,Galarian Yamask is formed when an ancient clay tablet is drawn to a vengeful spirit
2,Yamask, The slab has possessed it and absorbs its dark powers
0,Cofagrigus,It is said that anyone that strays too close to a Cofagrigus will be transformed into a mummy
1,Cofagrigus, Gold pieces are Cofagrigus's favorite food
2,Cofagrigus," Because of its uncanny likeness of a sarcophagus, Cofagrigus has trapped many grave robbers that foolishly tried to steal it"
3,Cofagrigus,Cofagrigus's entire body is made out of gold
4,Cofagrigus, Its remembrance of being human is forgotten and has been told by many people to this day
5,Cofagrigus," Many ancient tombs have been decorated with Cofagrigus, which also has been a symbol of wealth from many past kings"
6,Cofagrigus,Cofagrigus is the evolved form of Yamask as of level 34
0,Tirtouga,"Though slow and clumsy on land, they nevertheless could beach themselves onto shores in order to capture unsuspecting prey"
1,Tirtouga," Indeed, some studies suggest that a sizable portion of their meals came from terrestrial prey"
2,Tirtouga," Tirtouga are thought to have gone extinct because they was unable to compete with similar chelonians; although their competitors were slower, they also required less food to survive and reproduce"
3,Tirtouga,Tirtouga evolves into Carracosta at level 37
0,Carracosta,"Carracosta is an amphibious Pokémon, spending most of its time underwater and on land"
1,Carracosta, Its front appendages are strongly developed and can knock out opponents in just a single slap as well as ripping a hole underneath a tanker
2,Carracosta, Carracosta consumes the shell and bones of its prey to fortify its sturdy shell
3,Carracosta, It hunts prey on dry land despite having slow land mobility
4,Carracosta,Carracosta is the evolved form of Tirtouga at level 37
0,Archen,"They dwell in the treetops of warm jungles; despite their wing-like arms, however, Archen are unable to fly"
1,Archen," Instead, they hop from branch to branch to get around"
2,Archen,"They are known to be very cowardly; though aggressive at first, they will quickly retreat when threatened"
3,Archen, Archen are thought to have gone extinct as more adept fliers evolved and out-competed them for resources
4,Archen," A recent publication has suggested that the connection between Archen and modern avian Pokémon may in fact be false, but the scientific community has yet to reach a consensus on the issue"
5,Archen,Archen evolves into Archeops at level 37
0,Archeops,"Archeops are naturally erratic creatures, being almost untameable even by non-legendary Pokémon standards"
1,Archeops," However it can understand a Trainer's commands, when it has settled down that is"
2,Archeops,"Archeops evolves from Archen, starting at level 37"
0,Trubbish,Trubbish is formed by a chemical reaction caused by the mixture of garbage bags and industrial waste
1,Trubbish," Anyone who catches a whiff of Trubbish's stench will be knock out for a week or, rarely, sent to the hospital"
2,Trubbish," Due to its insatiable appetite for garbage, Trubbish often follow people who always litter"
3,Trubbish,Even a living room that has been littered with trash can draw in Trubbish
4,Trubbish,"In the Alola region Trubbish and its evolution, Garbodor, are known to be prey of Alolan Grimer and Alolan Muk"
5,Trubbish,"In the Galar region, Trubbish's belches are a delicacy to Galarian Weezing"
6,Trubbish,Trubbish evolves into Garbodor at level 36
0,Garbodor,Garbodor ensnare their foes with their left arms and immobilize them with a strong odor secreted from their mouths
1,Garbodor, They are able to absorb toxic waste and use it to build their own bodies
2,Garbodor,"In addition, Garbodor consume vast amounts of refuse daily"
3,Garbodor," Their bodies contain potent toxins undiscovered by science, developed from the rancid waste they eat; a Garbodor's poisonous cocktail will change daily based on its last meal"
4,Garbodor, They have adapted to consume garbage so efficiently that they do not even have to chew; they simply inhale and swallow trash whole
5,Garbodor,"Garbodor and their pre-evolution, Trubbish, are known to be prey of Alolan Grimer and Alolan Muk"
6,Garbodor," In fact, it was revealed that the latter's importation to Alola reduced thir population, but made those that remain stronger than Garbodor who live in other regions"
0,Zorua,Zorua are known to be mischievous but timid Pokémon
1,Zorua," They are tricksters, possessing the ability to change into the forms of others to surprise and confuse them or to playing tricks for fun"
2,Zorua," They are able to transform into other Pokémon, as well as humans"
3,Zorua," When transforming into a human, Zorua usually takes the form of a silent child, though some have a preference for a human form"
4,Zorua," Luke's Zorua is an example, as she seems to like being in a female human form rather than a male human form"
5,Zorua, Zorua often have an impish grin on their faces while giggling
6,Zorua, They have been known to occasionally replace normally talkative children
7,Zorua,Zorua usually reside in lush forest or rugged mountains with their Zoroark parents
8,Zorua," Sometimes Zorua can be found in cities either with trainers, some disguised as Humans or Pokémon"
9,Zorua,"Hisuian Zorua are the result of Zorua migrating from other regions, where they were shunned by humans that despised them for manifesting uncanny illusions, but later perished due to being unable to survive within the harsher environment of Hisui and the strife with other Pokémon; their lingering souls were reborn as Ghost-types from the power of their hatred and malice towards humans and Pokémon"
10,Zorua," Through their ghostly mimicries, they can draw strength from people and Pokémon's terror alike"
11,Zorua," Additionally, unlike their Unovan counterparts, Hisuan Zorua have a more sad melancholic expression rather than an impish grin"
12,Zorua," Nonetheless, they can be invaluable allies when they choose to be tamed by humans"
13,Zorua,Hisuian Zorua appear to dwell in secluded snowy mountains with their parents more often
0,Zoroark,"Zoroark are mysterious and sometimes mischievous Pokémon, although they are generally more serious than their pre-evolution Zorua"
1,Zoroark, They are very protective of their homes and their family
2,Zoroark, They will use illusions to trick enemies and prevent them from entering their lair
3,Zoroark," They are extremely protective of those it cares about and will go to any lengths to keep them safe, including risking their own lives, and one can hold grudges on those who harm its loved ones"
4,Zoroark, Zoroark will hide their Zorua young in their manes to protect them and carry them around
5,Zoroark,There are stories that say Zoroark punishes those who attempt to catch it by trapping them in an illusion
6,Zoroark," Some domesticated Zoroark, nonetheless, may instead perform their illusions to ease their lonely trainers' solitude"
7,Zoroark,Hisuian Zoroark are notably more maliciously and ferociously aggressive than regular Zoroark
8,Zoroark, They are reckless and tend to assail their victims with their incredibly terrifying illusory projections that can terrify them from the inside out
9,Zoroark," However, they still display a compassionate streak to their loved ones, notably their Zorua children"
10,Zoroark," Additionally, they can prove themselves to be invaluable allies once they establish trust with humans and other Pokémon"
11,Zoroark,"A Unovan Zoroark can morph or reincarnate into a Hisuian Zoroark, either through perishing in the harsh strifes in the wild after being casted away, or losing their beloved Zorua child and subsequently overwhelmed by intense malice and emotional pain"
0,Minccino,Minccino are obsessed with neatness and cleanliness
1,Minccino," They always keep themselves well-groomed and clean, and are constantly dusting and sweeping with their tails"
2,Minccino," They use their tails to thoroughly dust unclean objects and sweep their habitats, as they prefer to live in a tidy place"
3,Minccino," They greet one another by rubbing each other with their fluffy tails, which may also be a way of grooming one another"
4,Minccino," If they meet someone that they dislike, they will sweep dust onto the person's body"
0,Cinccino,"Like its pre-evolution, Cinccino is a very cleanly Pokémon that always keeps its fur neat and tidy"
1,Cinccino, Its white fur feels amazingly silky soft to the touch due to its frequent self-grooming
2,Cinccino, Cinccino smears oil all over its nest to keep it free from filth
0,Gothita,"Gothita are often seen staring intently at everything, including Pokémon and people"
1,Gothita, It appears that it can see something in a mystical dimension that cannot be seen by human eyes
2,Gothita, It can become so entranced by what it is watching that it does not notice that it is being attacked by an opponent
0,Gothorita,"According to legends, Gothorita is said to create friends for itself by controlling sleeping children at starry nights"
1,Gothorita, They mark star positions by using their psychic powers to levitate stones
2,Gothorita," It is warned to avoid letting children play during nighttime with many stars, as Gothorita will hypnotize and kidnap children"
0,Gothitelle,"Although a naturally gifted fortune teller with tremendous psychic powers, Gothitelle dislike conflicts"
1,Gothitelle, Gothitelle are also capable of showing cryptic images of their predictions to onlookers by projecting them onto the empty space surrounding them
2,Gothitelle," They can predict the lifespans of other living creatures, including those of themselves, their friends, and their trainers"
3,Gothitelle," As a result, despite their great power, Gothitelle are often seen sad or crying because of what they know is ultimately inevitable for both themselves and their loved ones"
4,Gothitelle," It is said that if one ever manages to glimpse their true fate through a Gothitelle, one would go mad from the revelation"
0,Solosis,"Solosis have highly developed, spiral-shaped organelles on the left sides of their heads that function like brains"
1,Solosis, They allow Solosis to wield moderate psychic powers and also enable them to communicate telepathically with others of their kind
2,Solosis," They are usually docile; even when directly attacked, they sometimes will not bother retaliating if the blow bounced off of their cell membranes"
0,Duosion,"Duosion are still technically a single cell, but because of their arrested development, they sometimes seem to act as two separate beings"
1,Duosion," This is because they quite literally have two separate “brains”, which are really the spiral-shaped organelles they had as Solosis, which have migrated into their heads from outside prior to mitosis"
2,Duosion," The two structures often act independently from one another, forcing Duosion to attempt to execute both actions simultaneously"
3,Duosion, This usually renders their movements jerky and erratic
4,Duosion,"Occasionally, both of their brain-like organelles will have the same thought, often due to experiencing a shared threat or initiating an innate reflex"
5,Duosion, The psychic powers of Duosion are strongest when this occurs—able to reach over half a mile (0
6,Duosion,8 kilometers) away—as both organelles are able to act in unison rather than independently in order to focus their abilities
