,Pokemon,physiology
3,Manaphy," Manaphy has an onion-shaped head with a pair of long blue antennae, which have small spheres on the end"
4,Manaphy," Manaphy's irises are dark blue, although the outermost portions of its eyes are yellow, with two eyelashes on each eye and yellow dots on the tips"
5,Manaphy, Eighty percent of Manaphy's body is made of water and is highly susceptible to its environment
6,Manaphy," One of these reactions is that when Manaphy reproduces in an ocean that's warmer than those that they are native to, the child will be a Phione as opposed to another Manaphy"
7,Manaphy,Manaphy does not evolve
0,Darkrai,"The top of its body is connected to the lower half by a tiny waist, giving it an hourglass shaped figure"
1,Darkrai," It has a red spiky growth around its neck and a long white mane flows from its head, obscuring one of its blue eyes"
2,Darkrai," Its thin arms have three claws each, with three spiky protrusions above each elbow"
3,Darkrai, Its shoulders also have long tatters and it appears to be wearing an old ripped cloak or dress
4,Darkrai, It is able to extend stilt-like extensions to use as legs
5,Darkrai,"Darkrai resembles a ghost or a haunted spirit but it is interesting to note that, despite it's design, Darkrai is not a Ghost type, instead being a pure Dark type"
0,Arceus,Arceus is an equine being similar to a Qilin
1,Arceus," Its body color is white with a gray, vertically-striated underside, the pattern of which has similar recurrences on the underside of Arceus's mane, tail, and face, and Arceus's pointed feet are tipped with gold hooves"
2,Arceus," Its mane is quite long, jutting away from its head, and its face is gray, with green eyes and red pupils, and a green circular pattern below its eyes"
3,Arceus,"Arceus also has a streak of gold coloration on its head, and ears that point upward"
4,Arceus," Its neck is fairly long, with two pairs of extrusions to the sides, and a flap-like feature on the neck's underside that is colored white like much of the body"
5,Arceus," It also has a golden cross-like wheel attached to its body by its round abdomen, which changes color along with its eyes and hooves based on Arceus's current type"
6,Arceus, The wheel also has four jewels attached to it
7,Arceus," The pattern of striated gray of Arceus's underbelly resumes past Arceus's waist, the underside of Arceus's limbs also being gray in coloration, and with extrusions at the tops of the legs"
8,Arceus, Arceus's tail is fairly like its mane in shape and coloration
9,Arceus,"Arceus looks like a fusion of Palkia and Dialga, resembling a wingless dragon of some sort"
10,Arceus, It's appearance also bears some resemblance to a llama
11,Arceus, Arceus will change color as well as type with whatever type of plate it is holding
12,Arceus," It is shown with other colors of the wheel, though always being different"
0,Victini,"Victini is a small cream-colored rabbit-like Pokémon with round bright blue eyes, long pointed flame-orange V-shaped ears, and small orange paws and feet"
1,Victini," The front of Victini's ears are orange, while the interior of its ears are cream colored and black"
2,Victini," It has little orange hands with three claw-like digits; Victini often forms the ""V"" for ""Victory"" sign with its hands"
3,Victini, Its orange feet are small and it possesses two claw-like toes
4,Victini," It has small, cream-colored wings on its back which allow it to fly; however, Victini will often levitate using its psychic powers"
5,Victini, It has two pointed fangs which can be seen on its upper jaw when it opens its mouth
6,Victini,Shiny Victini replaces the cream color with white while its orange ears turn red
0,Snivy,"Snivy is a serpentine creature with mainly a green body, tan stomach and lower head, with the end of its tail being shaped like a leaf as large as its head"
1,Snivy," Though unlike most other snake-like creatures, Snivy sports arms and legs, being green and tan, respectively"
2,Snivy," The arms are quite plant-like, ending in three prongs that act like fingers"
3,Snivy," Its head is a tear drop shape with the top half being green and the bottom half, in front of the neck, being tan"
4,Snivy, Its eyes are in the intersection between the border of the green and tan parts of its head
5,Snivy, Its eyes are surrounded by a yellow marking and are usually half closed
6,Snivy," Near the bottom of its neck is a yellow collar which comes up on either side on its body, and comes together in the center of its back, making a line to the bottom of the leaf tail"
0,Servine,Servine is a snake-like Pokémon
1,Servine," The top part of its body is a lush green hue, while its face and plump underbelly are cream-colored"
2,Servine, It has a pointed snout and is often grinning smugly
3,Servine," It has reddish eyes with slit pupils, and a yellow leafy collar around its neck that is longer than its pre-evolution Snivy's"
4,Servine," Servine has small green leaf-like hands, and two ivy-like leaves sprouting from its back"
5,Servine, The end of its tail is tipped with a large leaf
6,Servine, It also has a leafy green and yellow tuft atop its head
7,Servine," Its cream colored legs are thin and short and seem to have shrunk since it evolved, like its arms"
0,Serperior,Serperior is a very large reptilian snake-like Pokémon
1,Serperior," It has a white neck and face with a pointy snout, with pale-green designs on the top of its head with two yellow leaf-like extensions on the back of its head"
2,Serperior," Its eyes are bright red and fierce-looking, despite its regal, stoical demeanor"
3,Serperior," It has a dark green body with a pale-green underside with two, swirly yellow designs on it"
4,Serperior," The small wing-like protrusion from its previous form is now its collar being curled and leaf-like, being green on the exterior and yellow in the interior"
5,Serperior," It has two small leaf-like hands, which it barely uses and normally leaves behind its back"
6,Serperior," It now completely lacks any legs and now must slither about due to its new, serpentine form, despite having the ""tiny leaves"" as arms (perhaps as a vestigal leftover of previous forms)"
7,Serperior, Its red eyes are also relatively small in comparison with Snivy's
8,Serperior," Its long, green tail has three small green leaves sprouting from it"
0,Tepig,Tepig is a small quadrupedal mammalian Pokémon that resembles a piglet
1,Tepig," Its plump body, which gets fatter towards its rump, is mainly a bright fiery orange color"
2,Tepig," Its ears, forehead, backside, tail, and the tips of its front feet are black"
3,Tepig," It has long ears, large eyes with black pupils, and a distinctly pig-like pink nose with two large nostrils"
4,Tepig," It has a short yellow stripe extending vertically across the front of its face, just above its nose"
5,Tepig, It has a short curly tail with a round red orb at the tip; the orb at the tip of Tepig's tail glows when it uses its Fire-type attacks
0,Pignite,"Pignite is a bipedal pig-like Pokémon that appears to be wearing black spandex tights, similar to a wrestler"
1,Pignite," Its body is chubby and ovular in shape, and mainly a fiery orange hue"
2,Pignite," It has brown bands encircling its shoulders, sides, belly, hands, and from the back of its head down its snout"
3,Pignite, It has yellow bands around its wrists and twisted yellow shapes on its chest
4,Pignite," It has two large and brown floppy ears extending from its head and a small, twisted black tail"
5,Pignite, It has two sharp claws on its hands and one sharp claw on each foot
6,Pignite, It has a large pig-like red nose and two sharp teeth that protrude from its lower jaw
0,Emboar,Emboar is a very large bipedal boar-like Pokémon
1,Emboar," It has orange skin seen on the chest and head and flames emanating from around its neck and a small, black spiked tail"
2,Emboar," It has golden oriental designs on its fat black torso, and thick, black thunderbolt-like eyebrows on the top of its head"
3,Emboar," Like its pre-evolutions, it has a red, pig like nose"
4,Emboar, Two long fangs protrude out of its wide mouth
5,Emboar," It has large bulky arms, each with a golden band near its biceps with the rest of the arm below being black, and a red band on its wrists near its hands which each have three claws"
6,Emboar," On its lower body it, its upper legs are red where a yellow band separates the rest of the leg which is black, its feet are tipped with two toe claws"
0,Oshawott,"Oshawott is a bipedal, mammalian sea otter-like Pokémon"
1,Oshawott," It has furs covering its entire body, with white fur on its face and arms, light-blue fur on its chubby torso and a dark blue tail, feet and ears"
2,Oshawott, Its face features freckles on each cheek
3,Oshawott," It also has a tan-colored scallop shell attached to its stomach called a ""scalchop"", which is made of keratin (the same substance as human hair and fingernails)"
4,Oshawott," If broken, its scalchop can regrow"
0,Dewott,Dewott is a bipedal otter-like Pokémon
1,Dewott," It is mainly light cyan blue in color, with a navy blue apron-like fringe of fur around its thighs that bears two scalchops, which can be removed an used as swords when it battles"
2,Dewott, It has a black platypus-like tail and small black ears
3,Dewott," Its feet and paws are black, with three digits on each"
4,Dewott, It has a tuft of blue fur sprouting from the back of its head
5,Dewott," It has ovular black eyes, four white whiskers, and a round pink nose"
0,Samurott,"Samurott is a quadrupedal, aquatic mammalian Pokémon that resembles a sea lion"
1,Samurott," It is different to its previous evolutions, which were bipedal"
2,Samurott," It has a pointed nose, with large pale-blue mustache/goatee-like growths protruding from it, which it has developed from Dewott's whiskers and Oshawott's dimples"
3,Samurott," On the back of its head, Samurott has a large yellow conch shell with a very long horn with two spikes on it"
4,Samurott," It has a long dark-blue body with a light blue-gray belly and four legs with yellow armor-like shells divided into threes on them, those on its front legs are in fact where its swords, known as seamitars are stored"
5,Samurott, Its tail resembles that of a fish and is heart-like shaped with a small shell in the middle that makes it look like a deformed oval
6,Samurott," Its eyes have reverted to how they were with Oshawott's as they are now white with colored pupils as opposed to Dewott's eyes, which were black with white pupils"
7,Samurott, Razor Shell can be thought as the signature move of Samurott along with its pre-evolutions if Shellder isn't counted
8,Samurott,Hisuian Samurott has dark colored armor with red accents and a jagged horn on its head
9,Samurott, Its facial fur is wavier than its modern counterparts
0,Patrat,Patrat is a rodent-like Pokémon that resembles a chipmunk
1,Patrat," It has mostly brown fur, with a tan-colored stomach and face"
2,Patrat, Its tail is long and straight with a scruffy white tip
3,Patrat, It has a large pointed incisor tooth that sticks out of its mouth from its upper jaw
4,Patrat," It has a black band circling its head and eyes, which appear to have red and yellow bands around its small black eyes (the rings are seen as being separate from the actual eyes when it is put to sleep)"
5,Patrat," Its feet are small and black, with three toes on each foot"
0,Watchog,"Watchog is a bipedal, rodent-like Pokémon that bears a resemblance to chipmunks, groundhogs, and meerkats"
1,Watchog, It has small black eyes surrounded by hypnotic red and yellow rings
2,Watchog," It is mainly rust-colored, with its puffy cheeks and neck a light beige color, and yellow stripes wrapping around its torso and tail"
3,Watchog," Its front and hind paws are white, as is the furry tip of its tail"
4,Watchog," Its arms seem to be crossed over its chest, possibly hiding a white tuft of fur"
5,Watchog, The yellow patterns on its chest resemble a worker's yellow safety vest
6,Watchog, Watchog uses bio-luminescence to illuminate its eyes and the yellow patterns on its body; the flashing of light they produce stuns their foes
0,Lillipup,Lillipup is a small quadruped mammalian Pokémon that resembles a Yorkshire terrier puppy
1,Lillipup, Its body is covered in tan and brown colored fur
2,Lillipup, Its face is covered by a scruffy mass of long tan fur
3,Lillipup," It has pointed ears, large black eyes, and a red nose"
4,Lillipup, It has stubby limbs with three toes on each foot
5,Lillipup," It has a patch of blackish fur on its back, and a short brown tail"
0,Herdier,"Herdier is a quadrupedal, slightly chubby mammalian canine Pokémon"
1,Herdier, Most of its body is brown and some parts are dark blue
2,Herdier," It has very large ears and what looks like a mustache and forehead hair in the shape of a ""W"""
3,Herdier, It has small neat paws and what seems like a blue cover over its body and tail
0,Stoutland,Stoutland is a bulky quadrupedal canine Pokémon
1,Stoutland," It is particularly fluffy, long-haired, and plump"
2,Stoutland," Its long, thick fur is mostly blue in color with some brown patches"
3,Stoutland," It has a very long ""mustache"", and a blue cloak of fur over its stout body (which swells slightly towards its rump) and tail"
4,Stoutland, It has small paws and large ears on the top of its head
5,Stoutland," Also just like Herdier, it too has forehead hair in the shape of a ""W"""
6,Stoutland," Its back is slightly humped (likely due to the great amount of blubber it likely possesses), with its highest point being towards the center of its back"
7,Stoutland, It resembles a fat Yorkshire Terrier
8,Stoutland,"A shiny Stoutland's ""moustache"" (as well as its eyebrows) has a golden tint"
9,Stoutland, Its back fur is now a deep greenish-blue and its bottom fur has a much darker shade of gray
0,Purrloin,Purrloin is a small feline Pokémon
1,Purrloin," It has mainly deep purple fur, with cream-colored patches on its muzzle, forehead, chest, forelegs, back, and back feet"
2,Purrloin, Purrloin has green eyes with slit pupils and large angular pink eyelids
3,Purrloin, It has a blunt catlike muzzle with a small black triangular nose
4,Purrloin, It has pointed catlike ears and whisker-like tufts of fur on each cheek
5,Purrloin," It has a sleek, slender body with small dainty paws and feet"
6,Purrloin, Its tail is long and skinny with a crescent-like tuft at the tip
7,Purrloin,"Although it is generally a quadruped (seen running on all fours), Purrloin is capable of standing and walking on two legs, like a biped (similar to Meowth)"
0,Liepard,"Liepard is a quadrupedal mammalian Pokémon that resembles various felines, namely a leopard, a leopard cat, and a black panther"
1,Liepard," Its body is long, slender, and lithe, with powerfully built muscles"
2,Liepard, Its coat is mainly purple with small yellow rosettes speckling its back
3,Liepard," Its undercoat, including its legs, chest, underbelly, and much of its face, are yellow"
4,Liepard," It has vivid pink ""eyeshadow"" around its slanted green eyes"
5,Liepard, Two long yellow whiskers protrude from either side of its face
6,Liepard," Like Purrloin, its tail is somewhat hook shaped"
0,Pansage,"Pansage appears to be a small, green monkey with a yellowish-khaki chin, arms, and chest"
1,Pansage," It has green legs and tail, which has a pair of small leaves on its tip"
2,Pansage, The insides of its ears are light green and it has a tree-like appendage atop its head
3,Pansage," This ""tree"" has 3 teardrop-shaped yellowish-khaki marks on it"
0,Simisage,Simisage is a large monkey-like Pokémon
1,Simisage, It has a large green bush of hair (resembling the hair of a stereotypical American classic rocker like Elvis) on the top of its head which has three yellow circles on it; the middle spot is bigger than the others
2,Simisage, It has large monkey-like ears and big bushy white eyebrows
3,Simisage," It has a long green tail and has fuzzy, white fur around its shoulders"
4,Simisage, Both of its hands are yellow and so are its three-toed feet
5,Simisage," It appears to be wearing green pants, as its leafy green fur covers its legs and part of its belly"
6,Simisage, Simisage's torso is yellowish tan in color like its hands and feet
0,Pansear,Pansear is primarily red in color
1,Pansear," The tuft of fur on its head grows into the shape of small fire, its hands and upper torso are a light tan coloration"
2,Pansear," Its lower body is also red, and has a matching red tail"
3,Pansear," Pansear's shiny variant turns the red fur into an brighter, more vibrant orange color"
0,Simisear,Simisear is a bipedal monkey-like Pokémon
1,Simisear," Most of its fur is fiery reddish in color, and it has yellowish tan fur on its face, belly, fingers, and toes"
2,Simisear," It has ovular eyes with black pupils, a round black nose, and long rounded ears (with orange insides) that are quite large compared to the size of its head"
3,Simisear," Unlike its pre-evolution, Pansear, Simisear has more hair atop its head; the tufts of red fur on its head resemble flames"
4,Simisear," Its thin arms protrude from shoulders that are covered in fluffy white fur that resemble clouds of steam, alluding to its fiery, volcanic nature"
5,Simisear, It has a thick furry red tail that resembles a swirling flare of red flames
6,Simisear," It also has a plump, rounded belly that is mostly a yellowish-tan; the lower part of its belly is red with a zigzagging pattern separating it from the tan fur on its upper belly"
0,Panpour,Panpous is bipedal monkey-like Pokémf
1,Panpour, It is mainly cyan blue in color
2,Panpour," Its belly, face, arms and lower body are cream colored"
3,Panpour, It appears to have its eyes closed
4,Panpour, On the top of its head is a blue tuft that holds nutrient-rich water
5,Panpour, It has large light and dark blue ears
6,Panpour," Its hands, feet, lower torso and legs are a tan color"
7,Panpour," It has a club shaped tail that's blue, but the rest of the tail is tan"
0,Simipour,Simipour is a bipedal monkey-like Pokémon that shares its design theme with Simisage and Simisear
1,Simipour," Its hair is voluminous, with numerous long blue locks sprouting from its head, which curl at the ends, resembling spouts of water flowing from a fountain"
2,Simipour," Also just like Panpour it too has a mostly cyan blue body; the top of its head, its hair, ears, torso, and tail tip are cyan, while its arms, legs, face, and abdomen are yellowish tan"
3,Simipour," It has rounded ears with light blue insides, ovular eyes that appear closed (giving it a cheerful, smiling appearance), and a round black nose"
4,Simipour, It has a white and blue apron-like shag of fur covering its chest and extending down to its abdomen
5,Simipour, Its tail is tan with a tuft-like blue tip
6,Simipour,Simipour is the evolved form of Panpour
7,Simipour, It is evolved with the use of a Water Stone
0,Munna,Munna is a small quadrupedal tapir-like Pokémon
1,Munna, It has a round pink body with purple flower designs on its back
2,Munna, It's limbs are quite small and stubby
3,Munna," It floats around without touching the ground and has a small trunk-like snout, and the circular opening on its trunk emits purple dream mist"
4,Munna, Its eyes are ovular and red with small black lashes
0,Musharna,Musharna is a round-bodied Pokémon that resembles a tapir
1,Musharna," It has a long snout, round ovular eyes with red pupils (only seen when it is awake), small pink dots below its eyes and an ovular opening between its eyes that emits a thick plume of dream mist while it sleeps"
2,Musharna," The upper half of its body is pastel light pink, and its lower half is violet"
3,Musharna, It has stubby arms and legs with pink tips
4,Musharna," It is often seen levitating while sleeping, curled up in fetal position in midair while emitting great curling plumes of pink dream mist from the opening on its forehead"
5,Musharna, It is closely related to dreams
0,Pidove,"Pidove appears to be a small, gray, plump pigeon-like Pokémon with elliptical yellow eyes"
1,Pidove, It has two wide black stripes on both of its wings
2,Pidove," It has a light gray belly and breast, the lighter patch shaped like a heart"
3,Pidove, It has a tuft of three feathers atop its head
4,Pidove,"Pidove are usually forgetful and unresponsive, but they are also loyal, smart, and love to be with humans"
5,Pidove," Pidove are not able to understand complex instructions during their training, and may soon forget the instructions the trainer just issued, and will stay in the place waiting for a new command"
6,Pidove," The impressive thing about Pidove is that they are usually obeying the trainers' instruction, as long as they understand it, and will deftly to complete"
7,Pidove," Pidove like humans and they often appear in places with a lot of humans to gather together and fly freely, which makes them good partners of humans"
8,Pidove,Pidove evolves into Tranquill at level 21 and then into Unfezant at level 32
0,Tranquill,Tranquill is an avian Pokémon that is gray with lighter gray and black markings
1,Tranquill," Its beak and eyes are yellow, and there is a dark pink marking above its beak that curves back over the eyes"
2,Tranquill, It has a black tuft of two feathers on its head and a petal-like arrangement of feathers on the nape of its neck
3,Tranquill," There is a black stripe on each of its light gray, black-tipped wings"
4,Tranquill, Each pink foot has black talons
5,Tranquill, It possesses a long tail feather that is tipped in black
0,Unfezant,Unfezant is a large avian Pokémon that is based on a pheasant
0,Blitzle,Blitzle is a small quadruped equine Pokémon that resembles a young zebra
1,Blitzle, It has a mainly black coat covered in white stripes and a particularly spiky mane with a single lightning bolt-shaped cluster of hair sticking out between its small ears
2,Blitzle, Its tail is rather short for a hooved mammal
3,Blitzle, It has yellow and blue eyes and a very large black nose on its snout
4,Blitzle, Its small ears have blue insides
0,Zebstrika,Zebstrika is a large equine Pokémon that resembles a zebra
1,Zebstrika," It has a black coat with white lightning bolt-shaped stripes on its moderately fat body, a white spiky tail with a star-shaped tip, and somewhat a plump rump and thighs"
2,Zebstrika," Its small ears are blue inside, like Blitzle"
3,Zebstrika," Instead of one lightning bolt-shaped appendage on its head, it now carries two, and has a spikier mane that runs all the way down its back"
0,Roggenrola,"Roggenrola is a rocky, roughly spherical Pokémon that resembles a geode"
1,Roggenrola," It has with a single yellow hexagonal ear, which is often mistaken for an eye"
2,Roggenrola, It is mainly dark cobalt-blue in color
3,Roggenrola," It has a brown rock protruding from the top of its head, and its feet are the same color"
0,Boldore,"Boldore is a large, bulky boulder-like Pokémon that resembles a geode and a golem"
1,Boldore, Its craggy body is mostly dark blue in color
2,Boldore," It has red crystals on its back and front, and a spine that extends between two yellow holes it uses as eyes"
3,Boldore, It and it's evolutions/pre-evolutions share a resemblance to the Nosepass family and the Geodude family
4,Boldore," Despite contrary belief, it does not float"
0,Gigalith,Gigalith is a massive boulder-like Pokémon that resembles a golem and a stalagmite
1,Gigalith, Its entire body is made of deep bluish gray rock
2,Gigalith, It has bright red crystals protruding from all over its body; the crystals glow orange whenever Gigalith attacks
3,Gigalith," On its face, two sharp crystals protrude from the sides of its mouth like tusks"
4,Gigalith, Its four limbs are bulky and powerfully-built
5,Gigalith, It has fierce-looking deep-set yellow and red eyes
0,Woobat,"Woobat is a small, round, fuzzy, winged Pokémon that resembles a bat"
1,Woobat," It sports a pair of small, bat-like wings on each side of its round, furry, light-blue body"
2,Woobat," In the center of its face is a round, pink nose with closed eyelids on both sides (its fur is so long and fuzzy that its eyes cannot be seen)"
3,Woobat," It only has one nostril, and it is roughly in the shape of a heart"
4,Woobat," It has one, large, pointed fang protruding from its upper jaw"
0,Swoobat,Swoobat is a large fuzzy bat-like Pokémon
1,Swoobat, It shares many traits with its pre-evolution Woobat
2,Swoobat, It sports just a slightly larger pair of wings and they share a heart-shaped nostril on their noses
3,Swoobat," However, Swoobat is a much darker shade of blue and has a clear pair of eyes, fused-together ears, a chubby, spherical torso, and legs"
4,Swoobat, It also has a strangely shaped tail and tuft of white fur around its neck
5,Swoobat," Whenever it flies, its legs are tucked under its body and only its feet are shown"
0,Drilbur,Drilbur is a chubby mole-like Pokémon
1,Drilbur, It has a plump black body with blue streaks along with a white snout and white claws
2,Drilbur, It has blue round spot on its palms
3,Drilbur, Drilbur has wide eyes that are almost completely white but contain a single black dot-like pupil
4,Drilbur, It has oval shaped feet that have three toes
5,Drilbur, It has three sharp white claws on each arm
6,Drilbur," Its claws are almost connected, but the three lines show three claws"
0,Excadrill,Excadrill is a chubby bipedal mole-like Pokémon with dark brown fur
1,Excadrill," It has short legs, a plump, swollen belly with three red stripes on it, surfboard-shaped arms with three-fingered hands, and a hump on its back where its head meets its shoulders"
0,Audino,Audino is a plump bipedal creature with a cream and pink colored body
1,Audino," It has large ovular blue eyes and frilly pink and cream ears; long, extendable curled feelers are attached to its earlobes"
2,Audino, The curled feelers on its ears allow Audino to listen to the heartbeats of others and determine their state of health
3,Audino, Egg hatching can be predicted as well
4,Audino," The pink pattern on its body resembles a coat, and it has a pudgy cream-colored belly and underside"
5,Audino," Its small paws with three digits are cream colored, and it has short legs with small two-toed feet"
6,Audino, There are pink heart-shaped patterns on the bottoms of Audino's feet
7,Audino, It has a white fluffy tuft for a tail
8,Audino,Mega Audino has a significantly more angelic look
9,Audino," Most of its body is pure white, and it appears to be wearing a frilly lab coat, similar to a doctor"
10,Audino," It has larger frilled ears with cream-colored tips that stand upright, and long swirled feelers extending from its lobes"
11,Audino," Beneath its white ""lab coat"" its plump belly is cream-colored"
12,Audino," Its face is cream colored, as well, and it has ovular bright red eyes"
13,Audino," It has a larger fluffy white tuft for a tail, and it appears to have a similarly shaped tuft on its chest"
14,Audino," There is a long curly white appendage attached to the tuft on its chest, which it holds in its paw (so far the function of this new feeler is unknown)"
15,Audino, It appears to be wearing white boots with wing-like tips
0,Timburr,"Timburr is a small, childlike Pokémon"
1,Timburr, It is mainly khaki in coloring and has a rectangular log with it
2,Timburr," It has small pink areas over its body to suggest bulging veins, which strong characters carry"
3,Timburr," In battle, it carries a log with both hands on its back"
4,Timburr," Occasionally, Timburr will flip the log during its battle animation"
0,Gurdurr,"Gurdurr, is a gray hourglass-shaped humanoid with a large, round violet nose"
1,Gurdurr, It has hair-like protrusions on its head
2,Gurdurr," Prominent swelling pink veins surround its limbs and chest, as well as its shoulders"
3,Gurdurr," Gurdurr always carries an ""I Beam Girder"" it its arms"
0,Conkeldurr,Conkeldurr is based on a buff clown-like construction worker wielding two pillars of concrete
1,Conkeldurr, It has a goatee which appears to be made from concrete
0,Tympole,Tympole is a small aquatic tadpole-like Pokémon
1,Tympole, Tympole has a rounded black body with a tan-colored face
2,Tympole," It has a small grinning mouth, round black eyes, and black eyebrows that resemble musical notes"
3,Tympole," It has round blue dome-shaped blue ears on either side of its head, and a flat, ovular blue fin-like tail"
0,Palpitoad,"Palpitoad are blue, ovoid Pokémon resembling living loudspeakers"
1,Palpitoad," They have a Tan oval with a black outline on their front, and have small tails that lack a fin"
2,Palpitoad, Its feet are small and stubby with just 3 toes
3,Palpitoad," Their outline has 5 bumps, with 2 small bumps easily mistaken for hands and 3 big ones near the top"
0,Seismitoad,"Seismitoad is a bulky, blue, bipedal toad-like Pokémon"
1,Seismitoad, Its underside and the speaker-like bumps found on various parts of its body are cyan with black edges around the belly
2,Seismitoad, Its hands and feet have three bulbous digits
3,Seismitoad," Additionally, Seismitoad have red eyes, cyan adornments on its legs, and a long tongue"
0,Throh,"Throh is a humanoid Pokémon dressed in a gi, a traditional training and contest uniform among many martial arts"
1,Throh, His head is red and has very large eyebrows
2,Throh," He is shorter than Sawk, and has 3 toes that make a triangle shape"
3,Throh,"Throh is a Fighting-type Pokémon with a bulky body, red, rocky skin, and seemingly wearing a white and black martial arts outfit"
4,Throh," His head is round, with a “Y”-shaped black feature over his eyes and nose"
5,Throh," The collar of his outfit is rimmed in black, and the sleeves sport a crisscrossed pattern"
6,Throh," Throh's hands are red with three bulbous, gecko-like fingers"
7,Throh," He has a black, martial-arts style belt, and his white “pants” have black patches on the knees"
8,Throh, His feet have three digits
9,Throh, His power increases when his belt is tied
10,Throh, Wild ones can create their own belts
11,Throh, Throh have a tendency to throw around larger opponents
12,Throh, They live in herds of around five Pokémon
13,Throh, He creates his own belt by weaving vines
14,Throh,Throh does not evolve
0,Sawk,Sawk is a humanoid Pokémon with blue skin
1,Sawk," He sports a light blue Gi, a traditional uniform for training and contests in many martial arts"
2,Sawk," He has two, three-toed feet and he has a very big, bushy, eyebrow on the left side of his face"
0,Sewaddle,Sewaddle is a small larval Pokémon that resembles a caterpillar or silk worm
1,Sewaddle," Its body is covered in a green leafy coat, and it has a hood-like leaf encircling the back of its head"
2,Sewaddle, It has a round yellow head with two lumps on top
3,Sewaddle, It has small black eyes and an orange mouth with two sharp teeth visibly protruding from its upper jaw
4,Sewaddle, It has a white neck and six tiny orange stubby feet
0,Swadloon,Swadloon is a mainly round Pokémon that resembles a pupating caterpillar wrapped in leaves
1,Swadloon," Its body is yellow, and it is wrapped in a cloak of green leaves"
2,Swadloon," On the top of its head is a ""V"" shaped green leaf-like appendage"
3,Swadloon," Its frowning expression gives it a gloomy, sorrowful, shy look"
0,Leavanny,"Leavanny is a thin, yellow, bipedal humanoid-looking insect Pokémon which is supposed to resemble a leaf insect"
1,Leavanny," It has a broad, split leaf around its head and has long antennae protruding  from it which end in semi-circles"
2,Leavanny, Its chest and legs are dark green and sectioned
3,Leavanny, The hands look like leaves and the arms are like veins
4,Leavanny," Its abdomen is covered by its leafy tail, making it look like it is wearing a cloak"
5,Leavanny, It has a string that it uses for the trail to come out of mazes
0,Venipede,Venipede is a small armored arthropod Pokémon that resembles a centipede
1,Venipede, Its body is reddish magenta and green
2,Venipede," It has black markings on its neck, shoulders and antennae"
3,Venipede," It has a dome-shaped segment on its upper body, and its lower body is segmented"
4,Venipede, Venipede has four pairs of black legs and two tails
5,Venipede," It has large squinted yellow eyes with slit black pupils, giving it an ill-tempered appearance"
0,Whirlipede,Whirlipede is a large arthropod Pokémon that resembles a curled-up centipede
1,Whirlipede, Its rolled-up body is segmented
2,Whirlipede, It is mainly purple and black with long spine-like appendages on its front and lower body
3,Whirlipede, Its body is covered in smaller purple spikes
4,Whirlipede, In the center of its body is its large yellow eye
5,Whirlipede, It has light purple scales; on these scales are small red circles
6,Whirlipede, Its curled-up body gives it the appearance of a tire
7,Whirlipede,"
Storing energy for evolution, it sits"
8,Whirlipede," But, when predators approach, it moves to stab then with poison spikes"
9,Whirlipede,"Whirlipede is the middle evolution in the series of centipede like Pokémon, evolving from Venipede at level 22 then into Scolipede at level 30"
0,Scolipede,Scolipede is an enormous quadrupedal arthropod-based Pokémon that resembles a centipede
1,Scolipede," Its large, segmented body is mainly a deep ruby-red color with purple teardrop-shaped markings lining each segment from the back of its head to its backside"
2,Scolipede," Its underside is black, and it has a plump, rounded belly"
3,Scolipede," It has two long, curved purple and red striped spine-like horns on top of its head, and on its rear"
4,Scolipede, It has various small purple spikes lining the segments of its upper body
5,Scolipede," Its four legs are relatively short but powerfully-built, and lined with black stripes"
6,Scolipede, The tips of its feet are black
7,Scolipede," It has piercing yellow eyes with narrowed black eyelids, and black slit pupils, giving it a fierce and aggressive appearance"
0,Cottonee,Cottonee is a small round Pokémon that resembles a ball of cotton
1,Cottonee, It has a fluffy body that is white and very pale green in color
2,Cottonee, It has a mass of light green fluff covering most of its body
3,Cottonee," Its face is white with two ovular red eyes; its mouth is not visible, but is likely hidden beneath the cottony layer below its eyes"
4,Cottonee, It has two small green leaf-like arms on either side of its round body which resemble wings
0,Whimsicott,Whimsicott is a small bipedal Pokémon that resembles a ball of cotton
1,Whimsicott," Its body is brown, and its back, neck, and forehead are covered with a puffy white cotton-like substance"
2,Whimsicott," On its back is a green, star-shaped pattern that resembles the area where a plant connects to its fruit"
3,Whimsicott," It has large ovular orange eyes, a grinning face, and green curled horn-like appendages that seem to be its ears"
0,Petilil,Petilil is a tiny plant Pokémon that appears to resemble a bulb
1,Petilil, She has a mainly light green leafy body and a small white face surrounded by a hood-like formation of green petals or leaves
2,Petilil, Three long bright green leaves sprout from the top of her head
3,Petilil, She has small ovular brownish red eyes and no visible mouth
4,Petilil," The underside of her body, just below her head, is short and green, with little stubby edges"
5,Petilil, She has a small collar of darker green leaves
6,Petilil, She has tiny arms (as seen in the Pokémon musical)
0,Lilligant,Lilligant is a large plant-like Pokémon that has a slightly humanoid feminine appearance
1,Lilligant," Its ""skirt"" resembles a plant bulb"
2,Lilligant," Its face and torso are white, while the rest of its body is mainly green and leafy"
3,Lilligant, It appears to be wearing a cloak of dark green leaves
4,Lilligant, It has a bright orange lily-like flower on the top of its head with a crown atop of the blossom
5,Lilligant," It has a leafy yellow collar, and rounded light green leaves for arms"
